
>>> Config 1/72: run_0_ly3_lr0.001_bs16
>>> Config 40/72: run_39_ly10_lr0.01_bs16
    Epoch 100/1000 - Loss: 0.687449
    Epoch 200/1000 - Loss: 0.682956
    Epoch 300/1000 - Loss: 0.673850
    Epoch 400/1000 - Loss: 0.668189
    Epoch 500/1000 - Loss: 0.664383
    Epoch 600/1000 - Loss: 0.660514
    Epoch 700/1000 - Loss: 0.658705
    Epoch 800/1000 - Loss: 0.657136
    Epoch 900/1000 - Loss: 0.656429
    Epoch 1000/1000 - Loss: 0.656039

>>> Config 41/72: run_40_ly10_lr0.01_bs32
    Epoch 100/1000 - Loss: 0.688306
    Epoch 200/1000 - Loss: 0.683262
    Epoch 300/1000 - Loss: 0.678702
    Epoch 400/1000 - Loss: 0.675727
    Epoch 500/1000 - Loss: 0.672821
    Epoch 600/1000 - Loss: 0.670303
    Epoch 700/1000 - Loss: 0.668596
    Epoch 800/1000 - Loss: 0.667823
    Epoch 900/1000 - Loss: 0.667585
    Epoch 1000/1000 - Loss: 0.667554

>>> Config 42/72: run_41_ly10_lr0.01_bs64
    Epoch 100/1000 - Loss: 0.690025
    Epoch 200/1000 - Loss: 0.686088
    Epoch 300/1000 - Loss: 0.682928
    Epoch 400/1000 - Loss: 0.680420
    Epoch 500/1000 - Loss: 0.678116
    Epoch 600/1000 - Loss: 0.676716
    Epoch 700/1000 - Loss: 0.675636
    Epoch 800/1000 - Loss: 0.675023
    Epoch 900/1000 - Loss: 0.674736
    Epoch 1000/1000 - Loss: 0.674763

>>> Config 43/72: run_42_ly10_lr0.05_bs16
    Epoch 100/1000 - Loss: 0.693172
    Epoch 200/1000 - Loss: 0.692968
    Epoch 300/1000 - Loss: 0.691913
    Epoch 400/1000 - Loss: 0.692638
    Epoch 500/1000 - Loss: 0.691547
    Epoch 600/1000 - Loss: 0.692884
    Epoch 700/1000 - Loss: 0.679367
    Epoch 800/1000 - Loss: 0.673786
    Epoch 900/1000 - Loss: 0.671228
    Epoch 1000/1000 - Loss: 0.670113

>>> Config 44/72: run_43_ly10_lr0.05_bs32
    Epoch 100/1000 - Loss: 0.692907
    Epoch 200/1000 - Loss: 0.693199
    Epoch 300/1000 - Loss: 0.692804
    Epoch 400/1000 - Loss: 0.692222
    Epoch 500/1000 - Loss: 0.688682
    Epoch 600/1000 - Loss: 0.680389
    Epoch 700/1000 - Loss: 0.669177
    Epoch 800/1000 - Loss: 0.664344
    Epoch 900/1000 - Loss: 0.662827
    Epoch 1000/1000 - Loss: 0.662130

>>> Config 45/72: run_44_ly10_lr0.05_bs64
    Epoch 100/1000 - Loss: 0.692369
    Epoch 200/1000 - Loss: 0.692721
    Epoch 300/1000 - Loss: 0.692557
    Epoch 400/1000 - Loss: 0.688290
    Epoch 500/1000 - Loss: 0.680398
    Epoch 600/1000 - Loss: 0.667797
    Epoch 700/1000 - Loss: 0.662563
    Epoch 800/1000 - Loss: 0.659574
    Epoch 900/1000 - Loss: 0.657947
    Epoch 1000/1000 - Loss: 0.657671

>>> Config 46/72: run_45_ly10_lr0.1_bs16
    Epoch 100/1000 - Loss: 0.693183
    Epoch 200/1000 - Loss: 0.693281
    Epoch 300/1000 - Loss: 0.692620
    Epoch 400/1000 - Loss: 0.692412
    Epoch 500/1000 - Loss: 0.693892
    Epoch 600/1000 - Loss: 0.692988
    Epoch 700/1000 - Loss: 0.693119
    Epoch 800/1000 - Loss: 0.679290
    Epoch 900/1000 - Loss: 0.673643
    Epoch 1000/1000 - Loss: 0.671713

>>> Config 47/72: run_46_ly10_lr0.1_bs32
    Epoch 100/1000 - Loss: 0.693100
    Epoch 200/1000 - Loss: 0.692949
    Epoch 300/1000 - Loss: 0.693555
    Epoch 400/1000 - Loss: 0.693487
    Epoch 500/1000 - Loss: 0.694325
    Epoch 600/1000 - Loss: 0.689695
    Epoch 700/1000 - Loss: 0.688079
    Epoch 800/1000 - Loss: 0.677281
    Epoch 900/1000 - Loss: 0.672284
    Epoch 1000/1000 - Loss: 0.671203

>>> Config 48/72: run_47_ly10_lr0.1_bs64
    Epoch 100/1000 - Loss: 0.693316
    Epoch 200/1000 - Loss: 0.692982
    Epoch 300/1000 - Loss: 0.693652
    Epoch 400/1000 - Loss: 0.692507
    Epoch 500/1000 - Loss: 0.690226
    Epoch 600/1000 - Loss: 0.687992
    Epoch 700/1000 - Loss: 0.676636
    Epoch 800/1000 - Loss: 0.669732
    Epoch 900/1000 - Loss: 0.666014
    Epoch 1000/1000 - Loss: 0.665323

>>> Config 49/72: run_48_ly15_lr0.001_bs16
    Epoch 100/1000 - Loss: 0.692334
    Epoch 200/1000 - Loss: 0.691383
    Epoch 300/1000 - Loss: 0.690496
    Epoch 400/1000 - Loss: 0.689731
    Epoch 500/1000 - Loss: 0.689075
    Epoch 600/1000 - Loss: 0.688647
    Epoch 700/1000 - Loss: 0.688337
    Epoch 800/1000 - Loss: 0.688151
    Epoch 900/1000 - Loss: 0.688066
    Epoch 1000/1000 - Loss: 0.688044

>>> Config 50/72: run_49_ly15_lr0.001_bs32
    Epoch 100/1000 - Loss: 0.692651
    Epoch 200/1000 - Loss: 0.692052
    Epoch 300/1000 - Loss: 0.691495
    Epoch 400/1000 - Loss: 0.691008
    Epoch 500/1000 - Loss: 0.690616
    Epoch 600/1000 - Loss: 0.690345
    Epoch 700/1000 - Loss: 0.690163
    Epoch 800/1000 - Loss: 0.690063
    Epoch 900/1000 - Loss: 0.690018
    Epoch 1000/1000 - Loss: 0.690010

>>> Config 51/72: run_50_ly15_lr0.001_bs64
    Epoch 100/1000 - Loss: 0.692823
    Epoch 200/1000 - Loss: 0.692423
    Epoch 300/1000 - Loss: 0.692046
    Epoch 400/1000 - Loss: 0.691733
    Epoch 500/1000 - Loss: 0.691491
    Epoch 600/1000 - Loss: 0.691291
    Epoch 700/1000 - Loss: 0.691158
    Epoch 800/1000 - Loss: 0.691104
    Epoch 900/1000 - Loss: 0.691090
    Epoch 1000/1000 - Loss: 0.691075

>>> Config 52/72: run_51_ly15_lr0.01_bs16
    Epoch 100/1000 - Loss: 0.689077
    Epoch 200/1000 - Loss: 0.681530
    Epoch 300/1000 - Loss: 0.672225
    Epoch 400/1000 - Loss: 0.666909
    Epoch 500/1000 - Loss: 0.661827
    Epoch 600/1000 - Loss: 0.659021
    Epoch 700/1000 - Loss: 0.655412
    Epoch 800/1000 - Loss: 0.653751
    Epoch 900/1000 - Loss: 0.653053
    Epoch 1000/1000 - Loss: 0.652481

>>> Config 53/72: run_52_ly15_lr0.01_bs32
    Epoch 100/1000 - Loss: 0.688134
    Epoch 200/1000 - Loss: 0.683906
    Epoch 300/1000 - Loss: 0.675861
    Epoch 400/1000 - Loss: 0.671743
    Epoch 500/1000 - Loss: 0.668376
    Epoch 600/1000 - Loss: 0.665334
    Epoch 700/1000 - Loss: 0.663546
    Epoch 800/1000 - Loss: 0.662725
    Epoch 900/1000 - Loss: 0.662382
    Epoch 1000/1000 - Loss: 0.662107

>>> Config 54/72: run_53_ly15_lr0.01_bs64
