num_layers,lr,batch_size,opt_name,img_size,test_accuracy,epochs_run,folder
5,0.01,8,adam,64,0.5,94,run_104_adam_ly5_lr0.01_bs8
5,0.01,8,sgd,64,0.4805194805194805,51,run_105_sgd_ly5_lr0.01_bs8
5,0.01,16,adam,64,0.5454545454545454,151,run_106_adam_ly5_lr0.01_bs16
5,0.01,16,sgd,64,0.4805194805194805,51,run_107_sgd_ly5_lr0.01_bs16
5,0.01,32,adam,64,0.5064935064935064,149,run_108_adam_ly5_lr0.01_bs32
5,0.01,32,sgd,64,0.4805194805194805,51,run_109_sgd_ly5_lr0.01_bs32
5,0.01,64,adam,64,0.538961038961039,211,run_110_adam_ly5_lr0.01_bs64
5,0.01,64,sgd,64,0.4805194805194805,51,run_111_sgd_ly5_lr0.01_bs64
5,0.02,8,adam,64,0.577922077922078,167,run_112_adam_ly5_lr0.02_bs8
5,0.02,8,sgd,64,0.4805194805194805,51,run_113_sgd_ly5_lr0.02_bs8
5,0.02,16,adam,64,0.538961038961039,172,run_114_adam_ly5_lr0.02_bs16
5,0.02,16,sgd,64,0.4805194805194805,51,run_115_sgd_ly5_lr0.02_bs16
5,0.02,32,adam,64,0.525974025974026,200,run_116_adam_ly5_lr0.02_bs32
5,0.02,32,sgd,64,0.4805194805194805,51,run_117_sgd_ly5_lr0.02_bs32
5,0.02,64,adam,64,0.4935064935064935,126,run_118_adam_ly5_lr0.02_bs64
5,0.02,64,sgd,64,0.4805194805194805,51,run_119_sgd_ly5_lr0.02_bs64
5,0.05,8,adam,64,0.4935064935064935,132,run_120_adam_ly5_lr0.05_bs8
5,0.05,8,sgd,64,0.487012987012987,51,run_121_sgd_ly5_lr0.05_bs8
5,0.05,16,adam,64,0.5194805194805194,142,run_122_adam_ly5_lr0.05_bs16
5,0.05,16,sgd,64,0.4805194805194805,51,run_123_sgd_ly5_lr0.05_bs16
5,0.05,32,adam,64,0.5584415584415584,124,run_124_adam_ly5_lr0.05_bs32
5,0.05,32,sgd,64,0.4805194805194805,51,run_125_sgd_ly5_lr0.05_bs32
5,0.05,64,adam,64,0.5194805194805194,152,run_126_adam_ly5_lr0.05_bs64
5,0.05,64,sgd,64,0.487012987012987,51,run_127_sgd_ly5_lr0.05_bs64
7,0.001,8,adam,64,0.577922077922078,67,run_128_adam_ly7_lr0.001_bs8
7,0.001,8,sgd,64,0.4805194805194805,51,run_129_sgd_ly7_lr0.001_bs8
7,0.001,16,adam,64,0.5454545454545454,856,run_130_adam_ly7_lr0.001_bs16
7,0.001,16,sgd,64,0.4805194805194805,51,run_131_sgd_ly7_lr0.001_bs16
7,0.001,32,adam,64,0.5714285714285714,506,run_132_adam_ly7_lr0.001_bs32
7,0.001,32,sgd,64,0.4805194805194805,51,run_133_sgd_ly7_lr0.001_bs32
7,0.001,64,adam,64,0.525974025974026,128,run_134_adam_ly7_lr0.001_bs64
7,0.001,64,sgd,64,0.4805194805194805,51,run_135_sgd_ly7_lr0.001_bs64
7,0.01,8,adam,64,0.461038961038961,93,run_136_adam_ly7_lr0.01_bs8
7,0.01,8,sgd,64,0.4805194805194805,51,run_137_sgd_ly7_lr0.01_bs8
7,0.01,16,adam,64,0.5194805194805194,114,run_138_adam_ly7_lr0.01_bs16
7,0.01,16,sgd,64,0.487012987012987,51,run_139_sgd_ly7_lr0.01_bs16
7,0.01,32,adam,64,0.564935064935065,219,run_140_adam_ly7_lr0.01_bs32
7,0.01,32,sgd,64,0.4805194805194805,51,run_141_sgd_ly7_lr0.01_bs32
7,0.01,64,adam,64,0.5324675324675324,65,run_142_adam_ly7_lr0.01_bs64
7,0.01,64,sgd,64,0.4805194805194805,51,run_143_sgd_ly7_lr0.01_bs64
7,0.02,8,adam,64,0.44805194805194803,91,run_144_adam_ly7_lr0.02_bs8
7,0.02,8,sgd,64,0.487012987012987,51,run_145_sgd_ly7_lr0.02_bs8
