
>>> Config 1/19: run_0_ly2_lr0.05_bs32
    Epoch 200/3000 - Loss: 0.347799
    Epoch 300/3000 - Loss: 0.347274
    Epoch 400/3000 - Loss: 0.347009
    Epoch 500/3000 - Loss: 0.346764
    Epoch 600/3000 - Loss: 0.346933
    Epoch 700/3000 - Loss: 0.346679
    Epoch 800/3000 - Loss: 0.346656
    Epoch 900/3000 - Loss: 0.346726
    Epoch 1000/3000 - Loss: 0.346686
    Epoch 1100/3000 - Loss: 0.346683
    Epoch 1200/3000 - Loss: 0.346809
    Epoch 1300/3000 - Loss: 0.346627
    Epoch 1400/3000 - Loss: 0.346645
    Epoch 1500/3000 - Loss: 0.346678
    Epoch 1600/3000 - Loss: 0.346661
    Epoch 1700/3000 - Loss: 0.346651
    Epoch 1800/3000 - Loss: 0.346673
    Epoch 1900/3000 - Loss: 0.346621
    Epoch 2000/3000 - Loss: 0.346621
    Epoch 2100/3000 - Loss: 0.346597
    Epoch 2200/3000 - Loss: 0.346604
    Epoch 2300/3000 - Loss: 0.346600
    Epoch 2400/3000 - Loss: 0.346601
    Epoch 2500/3000 - Loss: 0.346590
    Epoch 2600/3000 - Loss: 0.346585
    Epoch 2700/3000 - Loss: 0.346581
    Epoch 2800/3000 - Loss: 0.346602
    Epoch 2900/3000 - Loss: 0.346591
    Epoch 3000/3000 - Loss: 0.346580

>>> Config 16/19: run_15_ly17_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.347399
    Epoch 200/3000 - Loss: 0.346806
    Epoch 300/3000 - Loss: 0.346668
    Epoch 400/3000 - Loss: 0.346614
    Epoch 500/3000 - Loss: 0.346592
    Epoch 600/3000 - Loss: 0.346583
    Epoch 700/3000 - Loss: 0.346577
    Epoch 800/3000 - Loss: 0.346575
    Epoch 900/3000 - Loss: 0.346626
    Epoch 1000/3000 - Loss: 0.346597
    Epoch 1100/3000 - Loss: 0.346586
    Epoch 1200/3000 - Loss: 0.346580
    Epoch 1300/3000 - Loss: 0.346577
    Epoch 1400/3000 - Loss: 0.346575
    Epoch 1500/3000 - Loss: 0.346575
    Epoch 1600/3000 - Loss: 0.346574
    Epoch 1700/3000 - Loss: 0.346574
    Epoch 1800/3000 - Loss: 0.346574
    Epoch 1900/3000 - Loss: 0.346574
    Epoch 2000/3000 - Loss: 0.346574
    Epoch 2100/3000 - Loss: 0.346574
    Epoch 2200/3000 - Loss: 0.346578
    Epoch 2300/3000 - Loss: 0.346576
    Epoch 2400/3000 - Loss: 0.346575
    Epoch 2500/3000 - Loss: 0.346575
    Epoch 2600/3000 - Loss: 0.346574
    Epoch 2700/3000 - Loss: 0.346574
    Epoch 2800/3000 - Loss: 0.346574
    Epoch 2900/3000 - Loss: 0.346574
    Epoch 3000/3000 - Loss: 0.346574

>>> Config 17/19: run_16_ly18_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.007405
    Epoch 200/3000 - Loss: 0.009397
    Epoch 300/3000 - Loss: 0.014262
    Epoch 400/3000 - Loss: 0.005845
    Epoch 500/3000 - Loss: 0.009983
    Epoch 600/3000 - Loss: 0.020074
    Epoch 700/3000 - Loss: 0.003260
    Epoch 800/3000 - Loss: 0.009087
    Epoch 900/3000 - Loss: 0.024311
    Epoch 1000/3000 - Loss: 0.006934
    Epoch 1100/3000 - Loss: 0.029058
    Epoch 1200/3000 - Loss: 0.006309
    Epoch 1300/3000 - Loss: 0.027604
    Epoch 1400/3000 - Loss: 0.011883
    Epoch 1500/3000 - Loss: 0.005916
    Epoch 1600/3000 - Loss: 0.002025
    Epoch 1700/3000 - Loss: 0.001321
    Epoch 1800/3000 - Loss: 0.002270
    Epoch 1900/3000 - Loss: 0.001554
    Epoch 2000/3000 - Loss: 0.001228
    Epoch 2100/3000 - Loss: 0.000742
    Epoch 2200/3000 - Loss: 0.000612
    Epoch 2300/3000 - Loss: 0.000559
    Epoch 2400/3000 - Loss: 0.000482
    Epoch 2500/3000 - Loss: 0.000480
    Epoch 2600/3000 - Loss: 0.000339
    Epoch 2700/3000 - Loss: 0.000274
    Epoch 2800/3000 - Loss: 0.000187
    Epoch 2900/3000 - Loss: 0.000172
    Epoch 3000/3000 - Loss: 0.000140

>>> Config 18/19: run_17_ly19_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.358784
    Epoch 200/3000 - Loss: 0.353804
    Epoch 300/3000 - Loss: 0.348821
    Epoch 400/3000 - Loss: 0.347657
    Epoch 500/3000 - Loss: 0.347104
    Epoch 600/3000 - Loss: 0.347269
    Epoch 700/3000 - Loss: 0.347040
    Epoch 800/3000 - Loss: 0.346886
    Epoch 900/3000 - Loss: 0.346776
    Epoch 1000/3000 - Loss: 0.346696
    Epoch 1100/3000 - Loss: 0.346633
    Epoch 1200/3000 - Loss: 0.346786
    Epoch 1300/3000 - Loss: 0.346681
    Epoch 1400/3000 - Loss: 0.346651
    Epoch 1500/3000 - Loss: 0.346636
    Epoch 1600/3000 - Loss: 0.346623
    Epoch 1700/3000 - Loss: 0.346613
